Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,29.100000,29.350000,28.680000,29.000000,28.547550,1905100
2020-08-20,28.450001,29.049999,28.250000,28.900000,28.449110,1455200
2020-08-21,28.889999,29.000000,28.559999,28.900000,28.449110,1245900
2020-08-24,29.020000,29.850000,28.990000,29.350000,28.892090,1861100
2020-08-25,29.350000,29.809999,28.830000,29.139999,28.685366,3190000
2020-08-26,28.940001,29.180000,28.139999,28.389999,27.947065,2968500
2020-08-27,28.600000,29.219999,28.370001,28.820000,28.370358,1440300
2020-08-28,28.840000,29.280001,28.790001,29.280001,28.823181,1889200
2020-08-31,29.200001,29.209999,28.520000,28.559999,28.114414,2609000
2020-09-01,28.700001,29.240000,28.490000,29.200001,28.744431,2420200
2020-09-02,29.200001,29.230000,28.500000,28.680000,28.232544,2432300
2020-09-03,28.809999,30.350000,28.660000,29.650000,29.187408,4408700
2020-09-04,29.889999,30.770000,29.559999,30.410000,29.935553,4684600
2020-09-08,30.150000,30.330000,29.610001,29.910000,29.443352,2533200
2020-09-09,30.209999,30.510000,29.639999,29.709999,29.246471,1442700
2020-09-10,29.709999,29.990000,28.750000,28.799999,28.350670,2322400
2020-09-11,28.740000,28.860001,28.170000,28.440001,27.996286,2674200
2020-09-14,28.750000,28.959999,28.240000,28.629999,28.183321,2479500
2020-09-15,28.799999,28.850000,28.250000,28.440001,27.996286,1691900
2020-09-16,28.440001,28.639999,28.160000,28.230000,27.789564,2438600
2020-09-17,28.160000,28.170000,27.610001,27.940001,27.504089,2815400
2020-09-18,27.860001,27.889999,27.200001,27.340000,26.913450,3881000
2020-09-21,26.889999,27.530001,26.440001,27.299999,26.874071,3052500
2020-09-22,27.370001,27.840000,27.219999,27.490000,27.061110,2204800
2020-09-23,27.500000,27.660000,26.770000,26.840000,26.421249,1526500
2020-09-24,26.760000,27.770000,26.719999,27.440001,27.011890,1270500
2020-09-25,27.200001,27.290001,26.809999,27.200001,26.775633,1311400
2020-09-28,27.620001,29.150000,27.520000,27.770000,27.336740,6479800
2020-09-29,27.950001,28.040001,27.030001,27.090000,26.667349,1665600
2020-09-30,27.350000,27.959999,27.010000,27.959999,27.523775,3302500
2020-10-01,28.000000,28.170000,27.230000,27.900000,27.464712,2043000
2020-10-02,27.700001,28.950001,27.530001,28.400000,27.956913,3590200
2020-10-05,28.450001,28.680000,27.860001,28.469999,28.025818,2501700
2020-10-06,28.670000,28.990000,28.309999,28.540001,28.094727,1890100
2020-10-07,28.770000,28.910000,28.379999,28.469999,28.025818,2095700
2020-10-08,28.469999,30.950001,28.440001,30.840000,30.358843,7042700
2020-10-09,30.709999,32.200001,30.250000,31.400000,30.910105,5746400
2020-10-13,31.500000,31.950001,30.840000,31.780001,31.284180,4058700
2020-10-14,31.840000,32.730000,31.690001,32.169998,31.668091,4488200
2020-10-15,31.620001,32.299999,31.420000,31.700001,31.205427,2899500
2020-10-16,31.610001,31.690001,30.709999,30.709999,30.230871,4182900
2020-10-19,30.990000,31.790001,30.709999,31.010000,30.526192,2153200
2020-10-20,31.200001,32.279999,31.200001,31.780001,31.284180,3756400
2020-10-21,31.690001,32.570000,31.420000,32.119999,31.618872,2126900
2020-10-22,31.930000,33.570000,31.840000,33.450001,32.928120,3149400
2020-10-23,33.639999,34.599998,33.509998,33.720001,33.193913,5106100
2020-10-26,33.740002,34.990002,33.709999,34.240002,33.705803,4820800
2020-10-27,35.400002,36.270000,33.000000,33.279999,32.760777,8729200
2020-10-28,32.299999,32.900002,31.990000,32.340000,31.835440,4633800
2020-10-29,31.990000,33.360001,31.200001,33.189999,32.672180,4855400
2020-10-30,32.990002,33.320000,31.750000,31.850000,31.353085,2974700
2020-11-03,32.680000,32.889999,32.180000,32.360001,31.855127,2881500
2020-11-04,32.910000,33.160000,31.750000,32.049999,31.549965,2821300
2020-11-05,32.279999,32.430000,31.540001,32.259998,32.024780,3434200
2020-11-06,32.049999,32.610001,31.610001,31.719999,31.488718,2192300
2020-11-09,32.770000,34.500000,32.750000,34.189999,33.940708,4051300
2020-11-10,34.189999,36.369999,34.110001,36.310001,36.045254,4559400
2020-11-11,36.590000,36.799999,35.830002,36.310001,36.045254,2676700
2020-11-12,36.119999,36.259998,35.130001,35.180000,34.923492,2005000
2020-11-13,35.480000,35.959999,35.060001,35.900002,35.638241,1024000
2020-11-16,36.090000,37.950001,36.090000,37.919998,37.643509,2991800
2020-11-17,37.849998,38.900002,37.619999,38.869999,38.586586,3570600
2020-11-18,38.990002,39.490002,38.380001,39.130001,38.844692,2055900
2020-11-19,38.689999,39.450001,38.549999,39.299999,39.013451,2790800
2020-11-23,38.290001,38.950001,38.080002,38.639999,38.358261,1069600
2020-11-24,38.889999,40.740002,38.889999,40.560001,40.264267,2693300
2020-11-25,40.200001,40.990002,39.709999,40.790001,40.492588,3309400
2020-11-26,40.310001,40.400002,39.720001,40.279999,39.986305,1196900
2020-11-27,40.509998,41.340000,40.279999,40.830002,40.532295,1929100
2020-11-30,40.470001,40.490002,38.959999,39.139999,38.854618,3012200
2020-12-01,40.299999,42.820000,40.099998,42.689999,42.378731,4370400
2020-12-02,42.299999,42.570000,41.650002,41.970001,41.663982,2004800
2020-12-03,42.189999,43.500000,41.900002,41.980000,41.673912,2174600
2020-12-04,41.779999,41.959999,40.970001,41.529999,41.227192,1286000
2020-12-07,42.119999,43.779999,41.650002,43.689999,43.371437,2555800
2020-12-08,42.900002,43.750000,42.610001,43.290001,42.974358,2285800
2020-12-09,43.410000,43.619999,42.410000,42.779999,42.468075,1536900
2020-12-10,43.110001,44.220001,43.110001,44.009998,43.689110,2187900
2020-12-11,43.459999,44.810001,43.320000,44.580002,44.254951,2716600
2020-12-14,44.860001,45.049999,44.320000,44.369999,44.046482,1529500
2020-12-15,43.869999,45.130001,43.869999,45.009998,44.681816,1620400
2020-12-16,44.500000,44.740002,43.549999,44.689999,44.364151,2306200
2020-12-17,45.080002,45.560001,44.049999,44.240002,43.917435,2014700
2020-12-18,44.439999,44.900002,43.840000,44.230000,43.907505,1727300
2020-12-21,43.110001,44.000000,43.040001,43.709999,43.391296,1549000
2020-12-22,43.500000,44.549999,43.500000,44.369999,44.046482,1383100
2020-12-23,44.380001,45.430000,44.380001,45.369999,45.039192,1121800
2020-12-28,45.529999,46.490002,45.470001,46.189999,45.853214,1584800
2020-12-29,46.310001,46.599998,45.669998,46.160000,45.823429,916000
2020-12-30,46.330002,46.439999,45.150002,45.180000,44.850578,1239200
2021-01-04,45.400002,45.860001,44.090000,44.470001,44.145756,1750700
2021-01-05,44.150002,44.189999,43.150002,43.810001,43.490566,2217300
2021-01-06,43.709999,45.340000,43.680000,45.310001,44.979630,1823600
2021-01-07,44.709999,46.349998,44.250000,45.930000,45.595108,1995300
2021-01-08,46.709999,47.200001,45.270000,45.490002,45.158318,1401300
2021-01-11,45.270000,45.490002,44.340000,44.490002,44.339520,1779900
2021-01-12,44.650002,45.590000,44.560001,45.380001,45.226509,3281100
2021-01-13,45.119999,45.750000,43.580002,45.070000,44.917557,3636700
2021-01-14,44.959999,46.099998,44.360001,46.049999,45.894241,1953200
2021-01-15,45.320000,45.500000,43.880001,44.049999,43.901005,1732500
2021-01-18,43.849998,44.709999,43.450001,43.599998,43.452526,1445700
2021-01-19,44.200001,44.380001,42.619999,42.630001,42.485809,2174300
2021-01-20,43.150002,43.340000,41.720001,41.770000,41.628719,2289900
2021-01-21,41.840000,42.029999,40.700001,41.020000,40.881256,2026700
2021-01-22,40.200001,40.880001,39.849998,40.150002,40.014198,3236800
2021-01-26,40.000000,41.200001,39.160000,39.320000,39.187004,2863500
2021-01-27,39.060001,39.540001,38.380001,39.290001,39.157108,2430000
2021-01-28,39.060001,40.910000,39.009998,40.770000,40.632099,2556900
2021-01-29,40.080002,40.619999,39.130001,39.470001,39.336498,1793500
2021-02-01,39.840000,41.139999,39.630001,40.759998,40.622131,2910800
2021-02-02,41.529999,41.820000,39.840000,40.430000,40.293251,3077100
2021-02-03,42.400002,43.119999,40.950001,40.970001,40.831425,5970000
2021-02-04,40.889999,41.740002,40.660000,41.500000,41.359631,2191400
2021-02-05,41.200001,42.070000,41.099998,41.560001,41.419430,2373000
2021-02-08,41.560001,41.689999,40.150002,40.299999,40.163689,2197500
2021-02-09,39.980000,41.540001,39.700001,41.209999,41.070610,1987000
2021-02-10,40.869999,41.139999,40.110001,40.130001,39.994267,1479200
2021-02-11,40.770000,41.139999,40.419998,40.610001,40.472641,1082700
2021-02-12,40.599998,40.990002,39.900002,40.619999,40.482605,1036100
2021-02-17,null,null,null,null,null,null
2021-02-18,40.549999,41.209999,40.169998,40.360001,40.360001,1626500
2021-02-19,40.580002,41.419998,40.410000,40.759998,40.759998,2279300
2021-02-22,39.669998,39.919998,38.799999,39.180000,39.180000,3928200
2021-02-23,39.139999,41.020000,39.139999,40.770000,40.770000,3768400
2021-02-24,40.380001,40.720001,39.209999,39.419998,39.419998,1962600
2021-02-25,39.439999,39.790001,38.310001,38.430000,38.430000,1700900
2021-02-26,38.349998,38.720001,37.439999,37.619999,37.619999,2018300
2021-03-01,37.570000,38.040001,36.700001,37.259998,37.259998,2978200
2021-03-02,36.009998,38.520000,35.340000,38.389999,38.389999,3691000
2021-03-03,38.110001,38.560001,36.320000,37.830002,37.830002,4537500
2021-03-04,38.000000,39.619999,38.000000,38.630001,38.630001,4024100
2021-03-05,38.889999,40.500000,38.680000,40.410000,40.410000,3383000
2021-03-08,39.889999,40.779999,38.900002,39.009998,39.009998,3192100
2021-03-09,38.810001,39.560001,38.299999,39.240002,39.240002,1754100
