Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,36.680000,37.240002,36.599998,37.169998,37.169998,2319400
2020-01-03,36.000000,36.450001,35.590000,35.900002,35.900002,4342600
2020-01-06,35.500000,35.500000,34.200001,34.250000,34.250000,6271300
2020-01-07,34.650002,34.840000,34.209999,34.450001,34.450001,3310300
2020-01-08,34.610001,36.299999,34.610001,35.810001,35.810001,7156200
2020-01-09,36.049999,36.900002,35.980000,36.650002,36.650002,4692400
2020-01-10,36.730000,37.500000,36.700001,37.240002,37.240002,4187300
2020-01-13,37.209999,38.200001,37.200001,38.000000,38.000000,4686100
2020-01-14,37.990002,38.389999,37.549999,37.990002,37.990002,3268200
2020-01-15,37.849998,37.990002,36.720001,36.970001,36.970001,3416200
2020-01-16,37.240002,37.490002,36.400002,36.639999,36.639999,2737400
2020-01-17,36.980000,37.930000,36.830002,37.930000,37.930000,3018300
2020-01-20,37.740002,37.919998,37.250000,37.799999,37.799999,1518400
2020-01-21,37.799999,37.799999,36.150002,36.680000,36.680000,3322000
2020-01-22,36.980000,37.900002,36.320000,37.180000,37.180000,5323500
2020-01-23,36.660000,39.169998,36.439999,39.049999,39.049999,6248800
2020-01-24,39.209999,39.259998,37.270000,37.820000,37.820000,5773500
2020-01-27,36.400002,36.630001,35.230000,35.299999,35.299999,6453300
2020-01-28,36.000000,36.830002,35.400002,36.189999,36.189999,6342400
2020-01-29,36.459999,36.830002,34.939999,34.939999,34.939999,4150600
2020-01-30,34.200001,35.209999,33.209999,35.040001,35.040001,6859700
2020-01-31,34.099998,34.919998,33.939999,34.250000,34.250000,3664900
2020-02-03,34.049999,35.230000,33.320000,34.349998,34.349998,3807200
2020-02-04,35.490002,36.250000,35.099998,35.160000,35.160000,3644900
2020-02-05,35.849998,36.349998,35.330002,36.189999,36.189999,3145700
2020-02-06,36.389999,36.860001,35.540001,35.750000,35.750000,4277100
2020-02-07,35.450001,35.880001,34.240002,34.459999,34.459999,3369800
2020-02-10,34.599998,34.799999,33.700001,34.160000,34.160000,3640500
2020-02-11,34.299999,36.380001,34.290001,36.200001,36.200001,3383800
2020-02-12,36.500000,36.849998,35.490002,36.299999,36.299999,4318400
2020-02-13,35.599998,36.080002,35.169998,35.400002,35.400002,2359300
2020-02-14,35.669998,36.180000,35.439999,36.000000,36.000000,2414100
2020-02-17,36.049999,36.509998,35.840000,36.389999,36.389999,2132700
2020-02-18,35.959999,36.250000,35.070000,35.869999,35.869999,2555300
2020-02-19,35.919998,36.349998,35.680000,36.349998,36.349998,1937500
2020-02-20,36.500000,36.770000,34.240002,34.799999,34.799999,6200100
2020-02-21,34.209999,34.439999,33.439999,33.820000,33.820000,2841900
2020-02-26,null,null,null,null,null,null
2020-02-27,28.100000,28.469999,26.400000,26.400000,26.400000,10723600
2020-02-28,25.740000,26.740000,24.620001,25.600000,25.600000,8269600
2020-03-02,25.600000,27.000000,24.920000,26.110001,26.110001,8434200
2020-03-03,26.379999,26.780001,24.750000,25.120001,25.120001,8695300
2020-03-04,26.000000,26.209999,24.719999,24.809999,24.809999,9269800
2020-03-05,24.200001,24.400000,19.820000,20.650000,20.650000,13712100
2020-03-06,18.100000,21.719999,18.100000,21.049999,21.049999,14833900
2020-03-09,19.500000,19.660000,17.360001,17.379999,17.379999,7560100
2020-03-10,18.860001,19.620001,17.070000,18.320000,18.320000,11597600
2020-03-11,17.820000,18.100000,14.600000,15.650000,15.650000,11844100
2020-03-12,13.100000,13.100000,9.720000,9.970000,9.970000,9974600
2020-03-13,12.150000,12.210000,9.540000,11.170000,11.170000,18216100
2020-03-16,8.900000,9.470000,8.020000,8.040000,8.040000,17498800
2020-03-17,8.410000,8.650000,7.380000,7.780000,7.780000,18230300
2020-03-18,7.190000,7.190000,5.300000,5.600000,5.600000,19431100
2020-03-19,5.540000,6.930000,4.810000,6.250000,6.250000,18287600
