Renda Variável	Valor Investido	Data da Aplicação	Quantidade	Preço de Compra
AZUL4	19872	18/07/2019	400	49.68
CPLE6	13348.9	18/07/2019	2620	5.1
SUZB3	20922	18/07/2019	600	34.87
SUZB3	5969	06/01/2021	100	59.69
AZUL4	2996.8	06/01/2021	80	37.46
WEGE3	2598.72	06/01/2021	64	40.60
WEGE3	2050	06/01/2021	50	41
MELI34	1290.6	06/01/2021	18	71.7
