Date,Open,High,Low,Close,Adj Close,Volume
2020-08-12,34.049999,34.224998,33.055000,34.000000,33.626526,9532400
2020-08-13,34.250000,35.459999,34.200001,34.450001,34.071579,14880200
2020-08-14,34.485001,35.215000,34.105000,34.584999,34.205101,8972000
2020-08-17,34.494999,34.794998,33.575001,33.985001,33.611691,9522200
2020-08-18,34.645000,34.665001,33.660000,33.849998,33.478172,10616400
2020-08-19,34.005001,34.224998,32.880001,32.939999,32.578167,10875800
2020-08-20,32.494999,33.970001,32.105000,33.610001,33.240810,14736400
2020-08-21,33.555000,33.805000,33.049999,33.799999,33.428719,9185000
2020-08-24,33.880001,34.299999,33.125000,33.235001,32.869930,10499200
2020-08-25,33.279999,34.270000,33.279999,34.145000,33.769932,10089800
2020-08-26,34.145000,34.369999,32.900002,33.215000,32.850151,13845600
2020-08-27,33.450001,33.645000,32.759998,33.145000,32.780914,6952600
2020-08-28,33.400002,33.990002,33.044998,33.595001,33.225975,7708200
2020-08-31,33.560001,33.560001,32.310001,32.310001,31.955090,16136400
2020-09-01,32.849998,33.549999,32.595001,33.465000,33.097397,7938000
2020-09-02,33.599998,34.064999,32.970001,33.404999,33.038055,10639800
2020-09-03,33.349998,33.610001,31.700001,32.215000,31.861135,13634400
2020-09-04,32.500000,32.575001,30.934999,32.244999,31.890806,14754000
2020-09-08,32.095001,32.095001,31.299999,31.500000,31.153984,9884400
2020-09-09,31.754999,32.735001,31.629999,32.465000,32.108387,9206000
2020-09-10,32.450001,32.450001,31.209999,31.209999,30.867172,8470400
2020-09-11,31.535000,32.209999,30.815001,31.045000,30.703985,14508600
2020-09-14,31.500000,31.895000,31.305000,31.665001,31.317175,6660600
2020-09-15,31.850000,32.244999,31.469999,32.040001,31.688055,7764200
2020-09-16,32.119999,32.625000,31.469999,31.469999,31.124317,8811000
2020-09-17,31.174999,31.575001,31.000000,31.410000,31.064976,5729800
2020-09-18,31.150000,31.725000,30.879999,30.995001,30.654533,11991000
2020-09-21,30.650000,31.889999,30.375000,31.700001,31.351791,10113800
2020-09-22,31.815001,32.619999,31.605000,32.310001,31.955090,10047200
2020-09-23,32.419998,32.915001,31.250000,31.250000,30.906733,9798000
2020-09-24,31.254999,32.560001,31.254999,32.244999,31.890806,10135200
2020-09-25,31.905001,32.134998,31.549999,32.125000,31.772123,6179000
2020-09-28,32.549999,33.055000,31.295000,31.445000,31.116282,14994000
2020-09-29,31.500000,32.529999,31.305000,32.470001,32.130569,13647000
2020-09-30,32.605000,32.860001,32.000000,32.849998,32.506599,12749000
2020-10-01,32.919998,33.450001,32.470001,33.450001,33.100327,10384600
2020-10-02,33.240002,33.689999,32.900002,33.525002,33.174545,11590400
2020-10-05,33.625000,35.090000,33.560001,35.090000,34.723179,14472600
2020-10-06,35.205002,36.145000,35.150002,35.740002,35.366386,15523200
2020-10-07,35.889999,37.095001,35.840000,36.584999,36.202549,15518000
2020-10-08,36.680000,37.779999,36.660000,37.590000,37.197048,14436600
2020-10-09,37.470001,38.590000,37.275002,38.450001,38.048061,11578600
2020-10-13,38.939999,39.735001,38.674999,39.575001,39.161293,12152600
2020-10-14,39.630001,40.490002,39.630001,40.290001,39.868824,13237400
2020-10-15,39.820000,40.639999,39.049999,40.384998,39.962826,12250400
2020-10-16,40.529999,41.680000,40.455002,41.025002,40.596138,12823400
2020-10-19,41.505001,41.904999,40.555000,41.029999,40.601082,11687600
2020-10-20,41.450001,41.974998,40.735001,41.775002,41.338299,12935000
2020-10-21,43.500000,43.605000,39.154999,39.200001,38.790218,41216600
2020-10-22,39.825001,41.340000,39.224998,41.055000,40.625824,26272600
2020-10-23,41.125000,41.630001,40.320000,40.834999,40.408119,16192800
2020-10-26,40.744999,41.994999,40.625000,41.375000,40.942482,12633800
2020-10-27,41.485001,42.169998,41.270000,41.619999,41.184917,13495800
2020-10-28,41.000000,41.345001,39.525002,39.570000,39.156349,16259600
2020-10-29,39.700001,40.799999,39.660000,40.014999,39.596691,17743200
2020-10-30,40.165001,40.369999,37.915001,37.915001,37.518650,19195400
2020-11-03,38.994999,39.415001,38.060001,38.660000,38.255859,18073800
2020-11-04,39.270000,41.244999,39.020000,41.099998,40.670349,14900200
2020-11-05,41.950001,42.875000,41.849998,42.875000,42.426796,17481600
2020-11-06,42.389999,42.790001,41.610001,42.000000,41.560944,11714200
2020-11-09,43.000000,43.134998,40.860001,41.064999,40.635719,15212400
2020-11-10,41.224998,41.270000,39.514999,39.514999,39.101921,16707800
2020-11-11,39.514999,40.355000,39.270000,40.294998,39.873768,9087200
2020-11-12,40.259998,40.924999,40.070000,40.400002,39.977673,10121400
2020-11-13,40.715000,41.695000,40.665001,41.435001,41.001854,9011800
2020-11-16,41.730000,41.770000,40.255001,40.790001,40.363594,7536600
2020-11-17,40.700001,40.869999,40.075001,40.845001,40.418022,6310400
2020-11-18,40.775002,41.250000,40.290001,40.544998,40.121155,6797000
2020-11-19,40.325001,40.775002,40.195000,40.465000,40.041992,4583800
2020-11-23,40.165001,40.250000,39.255001,39.255001,38.844643,6936400
2020-11-24,39.294998,39.294998,38.384998,38.470001,38.067844,10542800
2020-11-25,38.455002,39.200001,38.450001,38.660000,38.255859,7049200
2020-11-26,38.665001,39.105000,38.505001,38.849998,38.443871,3714200
2020-11-27,38.985001,39.355000,38.400002,38.500000,38.097534,6573800
2020-11-30,38.615002,38.700001,36.785000,36.785000,36.400459,21049400
2020-12-01,36.924999,37.790001,36.650002,36.799999,36.415306,12850400
2020-12-02,37.250000,37.250000,35.910000,36.615002,36.232239,12416400
2020-12-03,36.650002,37.494999,36.575001,36.965000,36.578579,10316200
2020-12-04,37.049999,37.200001,35.900002,35.900002,35.524715,13194400
2020-12-07,35.994999,36.730000,35.349998,35.805000,35.430702,12857600
2020-12-08,36.035000,36.380001,35.639999,36.349998,35.970005,9338600
2020-12-09,36.349998,36.549999,35.355000,35.500000,35.128891,6400200
2020-12-10,35.610001,35.935001,34.750000,35.500000,35.128891,9902600
2020-12-11,35.400002,35.615002,35.000000,35.500000,35.128891,5523200
2020-12-14,35.689999,35.895000,35.105000,35.275002,34.906246,5822400
2020-12-15,35.275002,36.400002,34.150002,36.375000,35.994743,17764800
2020-12-16,36.580002,36.994999,36.169998,36.650002,36.266876,16225800
2020-12-17,36.654999,37.990002,36.500000,37.884998,37.488964,16326600
2020-12-18,37.900002,38.275002,36.294998,36.435001,36.054123,15795200
2020-12-21,35.555000,36.820000,35.299999,36.005001,35.646660,8072000
2020-12-22,36.330002,36.645000,36.044998,36.410000,36.047626,5199800
2020-12-23,36.514999,36.990002,36.200001,36.310001,35.948627,4806600
2020-12-28,36.500000,37.750000,36.474998,37.750000,37.374290,6838800
2020-12-29,37.924999,38.119999,37.180000,37.575001,37.201031,6130200
2020-12-30,37.685001,38.325001,37.619999,37.869999,37.493095,12375400
2021-01-04,37.924999,38.195000,37.250000,37.310001,36.938671,7219800
2021-01-05,37.325001,39.599998,37.000000,39.599998,39.205875,16633600
2021-01-06,39.685001,41.735001,39.064999,40.650002,40.245426,21507400
2021-01-07,41.189999,42.505001,40.919998,42.330002,41.908707,15129600
2021-01-08,42.474998,44.994999,42.424999,44.889999,44.443230,17381000
