Renda Variável	Valor Investido	Data da Aplicação	Quantidade	Preço de Compra
ITSA4	3918	12/07/2019	300	13.06
ITUB4	31743	13/01/2020	900	35.27
ITUB4	18800	24/07/2019	500	37.6
SANB11	2913	19/08/2020	100	29.13
WEGE3	6068.7	12/08/2020	90	67.43
WEGE3	718.6	08/03/2021	10	71.86
