Ativo	Data da Aplicação	Quantidade	Preço de Compra
ITSA4	07/01/2020	300	13,9
CVCB3	07/01/2020	100	44,02
SUZB3F	07/01/2020	53	40,68
RLOG3	07/01/2020	300	22,6
RLOG3F	07/01/2020	25	22,63
